RowCount,Singer,Language,Song,Word
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Don't
1,Selena Gomez,English,Dance Again,Need
1,Selena Gomez,English,Dance Again,Permission
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,With
1,Selena Gomez,English,Dance Again,My
1,Selena Gomez,English,Dance Again,Emotions
1,Selena Gomez,English,Dance Again,Undressed
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,Going
1,Selena Gomez,English,Dance Again,In
1,Selena Gomez,English,Dance Again,With
1,Selena Gomez,English,Dance Again,Everything
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,Vulnerable
1,Selena Gomez,English,Dance Again,Ain't
1,Selena Gomez,English,Dance Again,Easy
1,Selena Gomez,English,Dance Again,Believe
1,Selena Gomez,English,Dance Again,Me
1,Selena Gomez,English,Dance Again,But
